-0.282318 ,0.618783 ,-0.048482 ,0.154261 ,0.525561 ,1.064323 ,-0.855818 ,0.307308 ,0.575651 ,-0.632167 ,-0.600000 ,1.190916 ,
0.860518 ,-1.165252 ,-0.240847 ,0.127289 ,-0.916911 ,0.479664 ,-0.939547 ,-0.753700 ,0.887421 ,0.194933 ,-0.300000 ,-1.160708 ,
0.744288 ,0.291224 ,0.573632 ,0.455795 ,-0.674619 ,-0.615703 ,0.819300 ,-0.379526 ,0.611014 ,-0.138713 ,-1.000000 ,-0.872384 ,
0.504504 ,-0.583378 ,-0.448281 ,0.448795 ,-0.814509 ,-0.430452 ,0.116007 ,1.424386 ,-0.471892 ,-0.189489 ,-0.800000 ,1.011058 ,
-0.959355 ,-0.783673 ,-0.993760 ,-0.543444 ,-0.874964 ,0.765844 ,0.321825 ,0.057098 ,0.795001 ,0.457958 ,-0.300000 ,-0.312362 ,
0.105444 ,-0.170370 ,0.779777 ,-0.261018 ,0.884174 ,-1.114613 ,0.980268 ,-0.664035 ,-0.137167 ,0.497135 ,-0.800000 ,-0.055612 ,
0.272275 ,0.284446 ,-0.317833 ,-0.859727 ,-0.205625 ,-0.659527 ,-0.340384 ,-0.061056 ,0.060747 ,0.024843 ,-0.200000 ,-0.002463 ,
-0.271319 ,0.243086 ,1.126913 ,-0.579405 ,0.792160 ,0.679387 ,0.519473 ,-0.235382 ,0.353611 ,-0.415844 ,-0.400000 ,-0.231957 ,
-0.513558 ,0.774878 ,0.308448 ,-0.611669 ,0.300173 ,0.492131 ,-0.712532 ,0.766133 ,-0.035317 ,-1.004622 ,-0.000000 ,-0.238784 ,
-0.540309 ,-0.015754 ,0.216029 ,0.618738 ,0.906963 ,-0.073904 ,-0.375809 ,-0.074148 ,-1.100972 ,-0.611254 ,-0.600000 ,-0.029190 ,
